Begin Test:

  a_i = 00000010, b_i = 01100111
  a_i = 00000010, b_i = 01101000
  a_i = 00000010, b_i = 01101001
  a_i = 00000010, b_i = 01101010
  a_i = 00000010, b_i = 01101011
  a_i = 00000010, b_i = 01101100
  a_i = 00000010, b_i = 01101101
  a_i = 00000010, b_i = 01101110
  a_i = 00000010, b_i = 01101111
  a_i = 00000010, b_i = 01110000
  a_i = 00000010, b_i = 01110001
  a_i = 00000010, b_i = 01110010
  a_i = 00000010, b_i = 01110011
  a_i = 00000010, b_i = 01110100
  a_i = 00000010, b_i = 01110101
  a_i = 00000010, b_i = 01110110
  a_i = 00000010, b_i = 01110111
  a_i = 00000010, b_i = 01111000
  a_i = 00000010, b_i = 01111001
  a_i = 00000010, b_i = 01111010
  a_i = 00000010, b_i = 01111011
  a_i = 00000010, b_i = 01111100
  a_i = 00000010, b_i = 01111101
  a_i = 00000010, b_i = 01111110
  a_i = 00000010, b_i = 01111111
  a_i = 00000010, b_i = 10000000
  a_i = 00000010, b_i = 10000001
  a_i = 00000010, b_i = 10000010
  a_i = 00000010, b_i = 10000011
  a_i = 00000010, b_i = 10000100
  a_i = 00000010, b_i = 10000101
  a_i = 00000010, b_i = 10000110
  a_i = 00000010, b_i = 10000111
  a_i = 00000010, b_i = 10001000
  a_i = 00000010, b_i = 10001001
  a_i = 00000010, b_i = 10001010
  a_i = 00000010, b_i = 10001011
  a_i = 00000010, b_i = 10001100
  a_i = 00000010, b_i = 10001101
  a_i = 00000010, b_i = 10001110
  a_i = 00000010, b_i = 10001111
  a_i = 00000010, b_i = 10010000
  a_i = 00000010, b_i = 10010001
  a_i = 00000010, b_i = 10010010
  a_i = 00000010, b_i = 10010011
  a_i = 00000010, b_i = 10010100
  a_i = 00000010, b_i = 10010101
  a_i = 00000010, b_i = 10010110
  a_i = 00000010, b_i = 10010111
  a_i = 00000010, b_i = 10011000
  a_i = 00000010, b_i = 10011001
  a_i = 00000010, b_i = 10011010
  a_i = 00000010, b_i = 10011011
  a_i = 00000010, b_i = 10011100
  a_i = 00000010, b_i = 10011101
  a_i = 00000010, b_i = 10011110
  a_i = 00000010, b_i = 10011111
  a_i = 00000010, b_i = 10100000
  a_i = 00000010, b_i = 10100001
  a_i = 00000010, b_i = 10100010
  a_i = 00000010, b_i = 10100011
  a_i = 00000010, b_i = 10100100
  a_i = 00000010, b_i = 10100101
  a_i = 00000010, b_i = 10100110
